Month,Year,Region,Dengue_Cases,Dengue_Deaths,Island,Date
November,2019,Region VIII,1218,5,Visayas,2019-11-01
December,2019,Region VIII,740,2,Visayas,2019-12-01
January,2020,Region VIII,897,3,Visayas,2020-01-01
February,2020,Region VIII,1500,3,Visayas,2020-02-01
March,2020,Region VIII,1210,2,Visayas,2020-03-01
April,2020,Region VIII,279,1,Visayas,2020-04-01
May,2020,Region VIII,192,0,Visayas,2020-05-01
June,2020,Region VIII,129,1,Visayas,2020-06-01
July,2020,Region VIII,121,0,Visayas,2020-07-01
August,2020,Region VIII,138,0,Visayas,2020-08-01
September,2020,Region VIII,120,1,Visayas,2020-09-01
October,2020,Region VIII,95,0,Visayas,2020-10-01
November,2020,Region VIII,110,1,Visayas,2020-11-01
December,2020,Region VIII,41,0,Visayas,2020-12-01
January,2016,Region IX,596,2,Mindanao,2016-01-01
February,2016,Region IX,432,2,Mindanao,2016-02-01
March,2016,Region IX,414,1,Mindanao,2016-03-01
April,2016,Region IX,286,1,Mindanao,2016-04-01
May,2016,Region IX,451,3,Mindanao,2016-05-01
June,2016,Region IX,641,5,Mindanao,2016-06-01
July,2016,Region IX,1025,4,Mindanao,2016-07-01
August,2016,Region IX,1016,4,Mindanao,2016-08-01
September,2016,Region IX,693,4,Mindanao,2016-09-01
October,2016,Region IX,690,5,Mindanao,2016-10-01
November,2016,Region IX,520,6,Mindanao,2016-11-01
December,2016,Region IX,451,4,Mindanao,2016-12-01
January,2017,Region IX,527,4,Mindanao,2017-01-01
February,2017,Region IX,404,2,Mindanao,2017-02-01
March,2017,Region IX,261,1,Mindanao,2017-03-01
April,2017,Region IX,291,0,Mindanao,2017-04-01
May,2017,Region IX,293,1,Mindanao,2017-05-01
June,2017,Region IX,521,5,Mindanao,2017-06-01
July,2017,Region IX,882,5,Mindanao,2017-07-01
August,2017,Region IX,468,0,Mindanao,2017-08-01
September,2017,Region IX,115,116,Mindanao,2017-09-01
October,2017,Region IX,108,176,Mindanao,2017-10-01
November,2017,Region IX,196,2,Mindanao,2017-11-01
December,2017,Region IX,208,1,Mindanao,2017-12-01
January,2018,Region IX,299,3,Mindanao,2018-01-01
February,2018,Region IX,341,2,Mindanao,2018-02-01
March,2018,Region IX,288,3,Mindanao,2018-03-01
April,2018,Region IX,220,0,Mindanao,2018-04-01
May,2018,Region IX,315,2,Mindanao,2018-05-01
June,2018,Region IX,366,1,Mindanao,2018-06-01
July,2018,Region IX,754,5,Mindanao,2018-07-01
August,2018,Region IX,780,11,Mindanao,2018-08-01
September,2018,Region IX,658,4,Mindanao,2018-09-01
October,2018,Region IX,630,7,Mindanao,2018-10-01
November,2018,Region IX,700,11,Mindanao,2018-11-01
December,2018,Region IX,810,5,Mindanao,2018-12-01
January,2019,Region IX,775,7,Mindanao,2019-01-01
February,2019,Region IX,1003,5,Mindanao,2019-02-01
March,2019,Region IX,1105,10,Mindanao,2019-03-01
April,2019,Region IX,948,11,Mindanao,2019-04-01
May,2019,Region IX,1602,8,Mindanao,2019-05-01
June,2019,Region IX,3201,11,Mindanao,2019-06-01
July,2019,Region IX,7024,20,Mindanao,2019-07-01
August,2019,Region IX,4233,20,Mindanao,2019-08-01
September,2019,Region IX,3304,4,Mindanao,2019-09-01
October,2019,Region IX,1773,7,Mindanao,2019-10-01
November,2019,Region IX,1507,3,Mindanao,2019-11-01
December,2019,Region IX,972,2,Mindanao,2019-12-01
January,2020,Region IX,577,3,Mindanao,2020-01-01
February,2020,Region IX,593,3,Mindanao,2020-02-01
March,2020,Region IX,433,1,Mindanao,2020-03-01
April,2020,Region IX,115,2,Mindanao,2020-04-01
May,2020,Region IX,164,1,Mindanao,2020-05-01
June,2020,Region IX,124,1,Mindanao,2020-06-01
July,2020,Region IX,168,0,Mindanao,2020-07-01
August,2020,Region IX,213,1,Mindanao,2020-08-01
September,2020,Region IX,107,3,Mindanao,2020-09-01
October,2020,Region IX,79,0,Mindanao,2020-10-01
November,2020,Region IX,60,0,Mindanao,2020-11-01
December,2020,Region IX,51,1,Mindanao,2020-12-01
January,2016,Region X,1450,4,Mindanao,2016-01-01
February,2016,Region X,1184,3,Mindanao,2016-02-01
March,2016,Region X,944,2,Mindanao,2016-03-01
April,2016,Region X,768,3,Mindanao,2016-04-01
May,2016,Region X,825,4,Mindanao,2016-05-01
June,2016,Region X,973,4,Mindanao,2016-06-01
July,2016,Region X,2519,10,Mindanao,2016-07-01
August,2016,Region X,2897,11,Mindanao,2016-08-01
September,2016,Region X,2386,10,Mindanao,2016-09-01
October,2016,Region X,1794,10,Mindanao,2016-10-01
November,2016,Region X,1066,6,Mindanao,2016-11-01
December,2016,Region X,874,2,Mindanao,2016-12-01
January,2017,Region X,1097,4,Mindanao,2017-01-01
February,2017,Region X,600,2,Mindanao,2017-02-01
March,2017,Region X,482,4,Mindanao,2017-03-01
April,2017,Region X,451,2,Mindanao,2017-04-01
May,2017,Region X,356,2,Mindanao,2017-05-01
June,2017,Region X,451,1,Mindanao,2017-06-01
July,2017,Region X,686,3,Mindanao,2017-07-01
August,2017,Region X,1354,4,Mindanao,2017-08-01
September,2017,Region X,290,243,Mindanao,2017-09-01
October,2017,Region X,227,282,Mindanao,2017-10-01
November,2017,Region X,276,1,Mindanao,2017-11-01
December,2017,Region X,409,0,Mindanao,2017-12-01
January,2018,Region X,429,4,Mindanao,2018-01-01
February,2018,Region X,482,3,Mindanao,2018-02-01
March,2018,Region X,655,11,Mindanao,2018-03-01
April,2018,Region X,813,6,Mindanao,2018-04-01
May,2018,Region X,833,6,Mindanao,2018-05-01
June,2018,Region X,1535,10,Mindanao,2018-06-01
July,2018,Region X,3062,16,Mindanao,2018-07-01
August,2018,Region X,2856,11,Mindanao,2018-08-01
September,2018,Region X,3864,9,Mindanao,2018-09-01
October,2018,Region X,2341,7,Mindanao,2018-10-01
November,2018,Region X,3672,6,Mindanao,2018-11-01
December,2018,Region X,2955,12,Mindanao,2018-12-01
January,2019,Region X,1476,0,Mindanao,2019-01-01
February,2019,Region X,1710,6,Mindanao,2019-02-01
March,2019,Region X,1684,14,Mindanao,2019-03-01
April,2019,Region X,992,5,Mindanao,2019-04-01
May,2019,Region X,1184,3,Mindanao,2019-05-01
June,2019,Region X,2415,6,Mindanao,2019-06-01
July,2019,Region X,3893,19,Mindanao,2019-07-01
August,2019,Region X,4807,17,Mindanao,2019-08-01
September,2019,Region X,4406,13,Mindanao,2019-09-01
October,2019,Region X,2023,7,Mindanao,2019-10-01
November,2019,Region X,1897,2,Mindanao,2019-11-01
December,2019,Region X,1869,3,Mindanao,2019-12-01
January,2020,Region X,945,6,Mindanao,2020-01-01
February,2020,Region X,1150,3,Mindanao,2020-02-01
March,2020,Region X,966,3,Mindanao,2020-03-01
April,2020,Region X,323,4,Mindanao,2020-04-01
May,2020,Region X,330,0,Mindanao,2020-05-01
June,2020,Region X,309,0,Mindanao,2020-06-01
July,2020,Region X,465,3,Mindanao,2020-07-01
August,2020,Region X,597,4,Mindanao,2020-08-01
September,2020,Region X,357,3,Mindanao,2020-09-01
October,2020,Region X,221,5,Mindanao,2020-10-01
November,2020,Region X,281,3,Mindanao,2020-11-01
December,2020,Region X,281,1,Mindanao,2020-12-01
January,2016,Region XI,790,6,Mindanao,2016-01-01
February,2016,Region XI,711,3,Mindanao,2016-02-01
March,2016,Region XI,564,8,Mindanao,2016-03-01
April,2016,Region XI,557,4,Mindanao,2016-04-01
May,2016,Region XI,628,5,Mindanao,2016-05-01
June,2016,Region XI,1015,14,Mindanao,2016-06-01
July,2016,Region XI,2330,13,Mindanao,2016-07-01
August,2016,Region XI,2063,9,Mindanao,2016-08-01
September,2016,Region XI,1010,12,Mindanao,2016-09-01
October,2016,Region XI,1035,7,Mindanao,2016-10-01
November,2016,Region XI,749,9,Mindanao,2016-11-01
December,2016,Region XI,685,5,Mindanao,2016-12-01
January,2017,Region XI,847,10,Mindanao,2017-01-01
February,2017,Region XI,479,5,Mindanao,2017-02-01
March,2017,Region XI,304,2,Mindanao,2017-03-01
April,2017,Region XI,253,0,Mindanao,2017-04-01
May,2017,Region XI,233,1,Mindanao,2017-05-01
June,2017,Region XI,241,2,Mindanao,2017-06-01
July,2017,Region XI,411,3,Mindanao,2017-07-01
August,2017,Region XI,316,3,Mindanao,2017-08-01
September,2017,Region XI,153,109,Mindanao,2017-09-01
October,2017,Region XI,58,72,Mindanao,2017-10-01
November,2017,Region XI,94,0,Mindanao,2017-11-01
December,2017,Region XI,278,2,Mindanao,2017-12-01
January,2018,Region XI,234,0,Mindanao,2018-01-01
February,2018,Region XI,205,1,Mindanao,2018-02-01
March,2018,Region XI,191,0,Mindanao,2018-03-01
April,2018,Region XI,223,1,Mindanao,2018-04-01
May,2018,Region XI,228,1,Mindanao,2018-05-01
June,2018,Region XI,477,4,Mindanao,2018-06-01
July,2018,Region XI,783,5,Mindanao,2018-07-01
August,2018,Region XI,876,4,Mindanao,2018-08-01
September,2018,Region XI,792,2,Mindanao,2018-09-01
October,2018,Region XI,609,2,Mindanao,2018-10-01
November,2018,Region XI,742,1,Mindanao,2018-11-01
December,2018,Region XI,956,1,Mindanao,2018-12-01
January,2019,Region XI,627,0,Mindanao,2019-01-01
February,2019,Region XI,841,5,Mindanao,2019-02-01
March,2019,Region XI,806,2,Mindanao,2019-03-01
April,2019,Region XI,339,1,Mindanao,2019-04-01
May,2019,Region XI,257,0,Mindanao,2019-05-01
June,2019,Region XI,584,3,Mindanao,2019-06-01
July,2019,Region XI,1115,10,Mindanao,2019-07-01
August,2019,Region XI,1284,9,Mindanao,2019-08-01
September,2019,Region XI,1141,9,Mindanao,2019-09-01
October,2019,Region XI,534,4,Mindanao,2019-10-01
November,2019,Region XI,437,2,Mindanao,2019-11-01
December,2019,Region XI,501,1,Mindanao,2019-12-01
January,2020,Region XI,220,2,Mindanao,2020-01-01
February,2020,Region XI,312,0,Mindanao,2020-02-01
March,2020,Region XI,352,3,Mindanao,2020-03-01
April,2020,Region XI,80,0,Mindanao,2020-04-01
May,2020,Region XI,70,0,Mindanao,2020-05-01
June,2020,Region XI,51,0,Mindanao,2020-06-01
July,2020,Region XI,126,2,Mindanao,2020-07-01
August,2020,Region XI,185,3,Mindanao,2020-08-01
September,2020,Region XI,146,2,Mindanao,2020-09-01
October,2020,Region XI,113,1,Mindanao,2020-10-01
November,2020,Region XI,154,0,Mindanao,2020-11-01
December,2020,Region XI,127,0,Mindanao,2020-12-01
January,2016,Region XII,1231,9,Mindanao,2016-01-01
February,2016,Region XII,843,0,Mindanao,2016-02-01
March,2016,Region XII,666,4,Mindanao,2016-03-01
April,2016,Region XII,654,2,Mindanao,2016-04-01
May,2016,Region XII,730,3,Mindanao,2016-05-01
June,2016,Region XII,1260,5,Mindanao,2016-06-01
July,2016,Region XII,3251,15,Mindanao,2016-07-01
August,2016,Region XII,2582,11,Mindanao,2016-08-01
September,2016,Region XII,1083,1036,Mindanao,2016-09-01
October,2016,Region XII,928,1270,Mindanao,2016-10-01
November,2016,Region XII,1216,6,Mindanao,2016-11-01
December,2016,Region XII,1569,8,Mindanao,2016-12-01
January,2017,Region XII,1512,8,Mindanao,2017-01-01
February,2017,Region XII,1012,10,Mindanao,2017-02-01
March,2017,Region XII,968,3,Mindanao,2017-03-01
April,2017,Region XII,1070,4,Mindanao,2017-04-01
May,2017,Region XII,758,2,Mindanao,2017-05-01
June,2017,Region XII,806,2,Mindanao,2017-06-01
July,2017,Region XII,771,2,Mindanao,2017-07-01
August,2017,Region XII,733,1,Mindanao,2017-08-01
September,2017,Region XII,694,10,Mindanao,2017-09-01
October,2017,Region XII,549,2,Mindanao,2017-10-01
November,2017,Region XII,349,0,Mindanao,2017-11-01
December,2017,Region XII,391,2,Mindanao,2017-12-01
January,2018,Region XII,433,1,Mindanao,2018-01-01
February,2018,Region XII,378,1,Mindanao,2018-02-01
March,2018,Region XII,477,2,Mindanao,2018-03-01
April,2018,Region XII,476,1,Mindanao,2018-04-01
May,2018,Region XII,490,2,Mindanao,2018-05-01
June,2018,Region XII,850,8,Mindanao,2018-06-01
July,2018,Region XII,1195,5,Mindanao,2018-07-01
August,2018,Region XII,927,5,Mindanao,2018-08-01
September,2018,Region XII,1016,6,Mindanao,2018-09-01
October,2018,Region XII,927,5,Mindanao,2018-10-01
November,2018,Region XII,855,2,Mindanao,2018-11-01
December,2018,Region XII,1149,4,Mindanao,2018-12-01
January,2019,Region XII,978,2,Mindanao,2019-01-01
February,2019,Region XII,1588,3,Mindanao,2019-02-01
March,2019,Region XII,1658,12,Mindanao,2019-03-01
April,2019,Region XII,920,7,Mindanao,2019-04-01
May,2019,Region XII,1286,4,Mindanao,2019-05-01
June,2019,Region XII,2689,15,Mindanao,2019-06-01
July,2019,Region XII,3114,15,Mindanao,2019-07-01
August,2019,Region XII,3579,4,Mindanao,2019-08-01
September,2019,Region XII,2434,16,Mindanao,2019-09-01
October,2019,Region XII,1159,7,Mindanao,2019-10-01
November,2019,Region XII,753,2,Mindanao,2019-11-01
December,2019,Region XII,482,4,Mindanao,2019-12-01
January,2020,Region XII,423,4,Mindanao,2020-01-01
February,2020,Region XII,648,1,Mindanao,2020-02-01
March,2020,Region XII,703,2,Mindanao,2020-03-01
April,2020,Region XII,228,0,Mindanao,2020-04-01
May,2020,Region XII,316,5,Mindanao,2020-05-01
June,2020,Region XII,347,3,Mindanao,2020-06-01
July,2020,Region XII,621,3,Mindanao,2020-07-01
August,2020,Region XII,550,4,Mindanao,2020-08-01
September,2020,Region XII,136,117,Mindanao,2020-09-01
October,2020,Region XII,76,80,Mindanao,2020-10-01
November,2020,Region XII,117,27,Mindanao,2020-11-01
December,2020,Region XII,198,2,Mindanao,2020-12-01
January,2016,Region XIII,1116,6,Mindanao,2016-01-01
February,2016,Region XIII,679,3,Mindanao,2016-02-01
March,2016,Region XIII,569,3,Mindanao,2016-03-01
April,2016,Region XIII,420,1,Mindanao,2016-04-01
May,2016,Region XIII,566,2,Mindanao,2016-05-01
June,2016,Region XIII,615,2,Mindanao,2016-06-01
July,2016,Region XIII,897,2,Mindanao,2016-07-01
August,2016,Region XIII,851,9,Mindanao,2016-08-01
September,2016,Region XIII,331,308,Mindanao,2016-09-01
October,2016,Region XIII,277,481,Mindanao,2016-10-01
November,2016,Region XIII,396,1,Mindanao,2016-11-01
December,2016,Region XIII,498,6,Mindanao,2016-12-01
January,2017,Region XIII,537,4,Mindanao,2017-01-01
February,2017,Region XIII,290,1,Mindanao,2017-02-01
March,2017,Region XIII,461,2,Mindanao,2017-03-01
April,2017,Region XIII,207,0,Mindanao,2017-04-01
May,2017,Region XIII,155,0,Mindanao,2017-05-01
June,2017,Region XIII,168,0,Mindanao,2017-06-01
July,2017,Region XIII,186,1,Mindanao,2017-07-01
August,2017,Region XIII,216,4,Mindanao,2017-08-01
September,2017,Region XIII,184,0,Mindanao,2017-09-01
October,2017,Region XIII,258,1,Mindanao,2017-10-01
November,2017,Region XIII,119,1,Mindanao,2017-11-01
December,2017,Region XIII,207,0,Mindanao,2017-12-01
January,2018,Region XIII,269,0,Mindanao,2018-01-01
February,2018,Region XIII,314,1,Mindanao,2018-02-01
March,2018,Region XIII,188,0,Mindanao,2018-03-01
April,2018,Region XIII,216,2,Mindanao,2018-04-01
May,2018,Region XIII,221,1,Mindanao,2018-05-01
June,2018,Region XIII,400,0,Mindanao,2018-06-01
July,2018,Region XIII,849,6,Mindanao,2018-07-01
August,2018,Region XIII,803,3,Mindanao,2018-08-01
September,2018,Region XIII,1062,5,Mindanao,2018-09-01
October,2018,Region XIII,1060,5,Mindanao,2018-10-01
November,2018,Region XIII,1361,5,Mindanao,2018-11-01
December,2018,Region XIII,2310,14,Mindanao,2018-12-01
January,2019,Region XIII,2036,5,Mindanao,2019-01-01
February,2019,Region XIII,2047,7,Mindanao,2019-02-01
March,2019,Region XIII,1088,3,Mindanao,2019-03-01
April,2019,Region XIII,328,2,Mindanao,2019-04-01
May,2019,Region XIII,324,0,Mindanao,2019-05-01
June,2019,Region XIII,492,0,Mindanao,2019-06-01
July,2019,Region XIII,749,0,Mindanao,2019-07-01
August,2019,Region XIII,1132,2,Mindanao,2019-08-01
September,2019,Region XIII,1201,4,Mindanao,2019-09-01
October,2019,Region XIII,908,2,Mindanao,2019-10-01
November,2019,Region XIII,713,0,Mindanao,2019-11-01
December,2019,Region XIII,1036,2,Mindanao,2019-12-01
January,2020,Region XIII,938,5,Mindanao,2020-01-01
February,2020,Region XIII,1172,2,Mindanao,2020-02-01
March,2020,Region XIII,816,1,Mindanao,2020-03-01
April,2020,Region XIII,288,2,Mindanao,2020-04-01
May,2020,Region XIII,271,0,Mindanao,2020-05-01
June,2020,Region XIII,162,0,Mindanao,2020-06-01
July,2020,Region XIII,122,1,Mindanao,2020-07-01
August,2020,Region XIII,137,0,Mindanao,2020-08-01
September,2020,Region XIII,28,31,Mindanao,2020-09-01
October,2020,Region XIII,10,14,Mindanao,2020-10-01
November,2020,Region XIII,12,3,Mindanao,2020-11-01
December,2020,Region XIII,27,0,Mindanao,2020-12-01
January,2016,NCR,1261,4,Luzon,2016-01-01
February,2016,NCR,999,7,Luzon,2016-02-01
March,2016,NCR,730,3,Luzon,2016-03-01
April,2016,NCR,448,2,Luzon,2016-04-01
May,2016,NCR,414,0,Luzon,2016-05-01
June,2016,NCR,406,0,Luzon,2016-06-01
July,2016,NCR,1436,5,Luzon,2016-07-01
August,2016,NCR,2291,6,Luzon,2016-08-01
September,2016,NCR,1291,1291,Luzon,2016-09-01
October,2016,NCR,1033,1651,Luzon,2016-10-01
November,2016,NCR,1472,8,Luzon,2016-11-01
December,2016,NCR,1221,10,Luzon,2016-12-01
January,2017,NCR,1676,7,Luzon,2017-01-01
February,2017,NCR,1161,4,Luzon,2017-02-01
March,2017,NCR,930,4,Luzon,2017-03-01
April,2017,NCR,767,6,Luzon,2017-04-01
May,2017,NCR,543,4,Luzon,2017-05-01
June,2017,NCR,1027,9,Luzon,2017-06-01
July,2017,NCR,3139,20,Luzon,2017-07-01
August,2017,NCR,4555,30,Luzon,2017-08-01
September,2017,NCR,3783,32,Luzon,2017-09-01
October,2017,NCR,3833,24,Luzon,2017-10-01
November,2017,NCR,2588,13,Luzon,2017-11-01
December,2017,NCR,2101,15,Luzon,2017-12-01
January,2018,NCR,2043,12,Luzon,2018-01-01
February,2018,NCR,1965,4,Luzon,2018-02-01
March,2018,NCR,1160,5,Luzon,2018-03-01
April,2018,NCR,897,6,Luzon,2018-04-01
May,2018,NCR,603,2,Luzon,2018-05-01
June,2018,NCR,832,6,Luzon,2018-06-01
July,2018,NCR,2608,23,Luzon,2018-07-01
August,2018,NCR,3323,14,Luzon,2018-08-01
September,2018,NCR,5131,44,Luzon,2018-09-01
October,2018,NCR,4472,32,Luzon,2018-10-01
November,2018,NCR,3335,20,Luzon,2018-11-01
December,2018,NCR,2831,12,Luzon,2018-12-01
January,2019,NCR,2082,9,Luzon,2019-01-01
February,2019,NCR,2348,9,Luzon,2019-02-01
March,2019,NCR,1377,4,Luzon,2019-03-01
April,2019,NCR,532,4,Luzon,2019-04-01
May,2019,NCR,442,3,Luzon,2019-05-01
June,2019,NCR,817,2,Luzon,2019-06-01
July,2019,NCR,1839,14,Luzon,2019-07-01
August,2019,NCR,5481,36,Luzon,2019-08-01
September,2019,NCR,11033,58,Luzon,2019-09-01
October,2019,NCR,6776,25,Luzon,2019-10-01
November,2019,NCR,4494,11,Luzon,2019-11-01
December,2019,NCR,3257,15,Luzon,2019-12-01
January,2020,NCR,2328,10,Luzon,2020-01-01
February,2020,NCR,1991,7,Luzon,2020-02-01
March,2020,NCR,1032,3,Luzon,2020-03-01
April,2020,NCR,99,0,Luzon,2020-04-01
May,2020,NCR,65,0,Luzon,2020-05-01
June,2020,NCR,57,0,Luzon,2020-06-01
July,2020,NCR,112,0,Luzon,2020-07-01
August,2020,NCR,158,1,Luzon,2020-08-01
September,2020,NCR,131,134,Luzon,2020-09-01
October,2020,NCR,129,185,Luzon,2020-10-01
November,2020,NCR,423,139,Luzon,2020-11-01
December,2020,NCR,658,4,Luzon,2020-12-01
January,2016,CAR,579,4,Luzon,2016-01-01
February,2016,CAR,276,1,Luzon,2016-02-01
March,2016,CAR,191,0,Luzon,2016-03-01
April,2016,CAR,226,1,Luzon,2016-04-01
May,2016,CAR,504,0,Luzon,2016-05-01
June,2016,CAR,1358,3,Luzon,2016-06-01
July,2016,CAR,2769,10,Luzon,2016-07-01
August,2016,CAR,2179,2,Luzon,2016-08-01
September,2016,CAR,538,548,Luzon,2016-09-01
October,2016,CAR,261,319,Luzon,2016-10-01
November,2016,CAR,161,0,Luzon,2016-11-01
December,2016,CAR,122,0,Luzon,2016-12-01
January,2017,CAR,166,0,Luzon,2017-01-01
February,2017,CAR,123,1,Luzon,2017-02-01
March,2017,CAR,76,0,Luzon,2017-03-01
April,2017,CAR,76,0,Luzon,2017-04-01
May,2017,CAR,57,0,Luzon,2017-05-01
June,2017,CAR,146,0,Luzon,2017-06-01
July,2017,CAR,532,1,Luzon,2017-07-01
August,2017,CAR,841,3,Luzon,2017-08-01
September,2017,CAR,610,3,Luzon,2017-09-01
October,2017,CAR,661,0,Luzon,2017-10-01
November,2017,CAR,391,3,Luzon,2017-11-01
December,2017,CAR,366,1,Luzon,2017-12-01
January,2018,CAR,320,0,Luzon,2018-01-01
February,2018,CAR,234,2,Luzon,2018-02-01
March,2018,CAR,173,0,Luzon,2018-03-01
April,2018,CAR,128,0,Luzon,2018-04-01
May,2018,CAR,188,0,Luzon,2018-05-01
June,2018,CAR,467,1,Luzon,2018-06-01
July,2018,CAR,1330,1,Luzon,2018-07-01
August,2018,CAR,1265,2,Luzon,2018-08-01
September,2018,CAR,1221,2,Luzon,2018-09-01
October,2018,CAR,915,0,Luzon,2018-10-01
November,2018,CAR,649,0,Luzon,2018-11-01
December,2018,CAR,694,0,Luzon,2018-12-01
January,2019,CAR,470,2,Luzon,2019-01-01
February,2019,CAR,694,2,Luzon,2019-02-01
March,2019,CAR,398,0,Luzon,2019-03-01
April,2019,CAR,163,0,Luzon,2019-04-01
May,2019,CAR,187,1,Luzon,2019-05-01
June,2019,CAR,547,1,Luzon,2019-06-01
July,2019,CAR,1226,4,Luzon,2019-07-01
August,2019,CAR,1536,6,Luzon,2019-08-01
September,2019,CAR,1472,5,Luzon,2019-09-01
October,2019,CAR,992,1,Luzon,2019-10-01
November,2019,CAR,756,4,Luzon,2019-11-01
December,2019,CAR,367,1,Luzon,2019-12-01
January,2020,CAR,229,1,Luzon,2020-01-01
February,2020,CAR,185,0,Luzon,2020-02-01
March,2020,CAR,121,0,Luzon,2020-03-01
April,2020,CAR,19,1,Luzon,2020-04-01
May,2020,CAR,31,0,Luzon,2020-05-01
June,2020,CAR,62,0,Luzon,2020-06-01
July,2020,CAR,67,0,Luzon,2020-07-01
August,2020,CAR,72,0,Luzon,2020-08-01
September,2020,CAR,39,26,Luzon,2020-09-01
October,2020,CAR,40,28,Luzon,2020-10-01
November,2020,CAR,38,15,Luzon,2020-11-01
December,2020,CAR,78,2,Luzon,2020-12-01
January,2016,BARMM,126,2,Mindanao,2016-01-01
February,2016,BARMM,92,2,Mindanao,2016-02-01
March,2016,BARMM,107,3,Mindanao,2016-03-01
April,2016,BARMM,109,4,Mindanao,2016-04-01
May,2016,BARMM,165,4,Mindanao,2016-05-01
June,2016,BARMM,263,7,Mindanao,2016-06-01
July,2016,BARMM,491,2,Mindanao,2016-07-01
August,2016,BARMM,327,2,Mindanao,2016-08-01
September,2016,BARMM,124,105,Mindanao,2016-09-01
October,2016,BARMM,82,109,Mindanao,2016-10-01
November,2016,BARMM,143,1,Mindanao,2016-11-01
December,2016,BARMM,162,2,Mindanao,2016-12-01
January,2017,BARMM,74,0,Mindanao,2017-01-01
February,2017,BARMM,59,1,Mindanao,2017-02-01
March,2017,BARMM,25,0,Mindanao,2017-03-01
April,2017,BARMM,36,0,Mindanao,2017-04-01
May,2017,BARMM,22,0,Mindanao,2017-05-01
June,2017,BARMM,57,0,Mindanao,2017-06-01
July,2017,BARMM,62,0,Mindanao,2017-07-01
August,2017,BARMM,41,0,Mindanao,2017-08-01
September,2017,BARMM,33,1,Mindanao,2017-09-01
October,2017,BARMM,38,0,Mindanao,2017-10-01
November,2017,BARMM,17,0,Mindanao,2017-11-01
December,2017,BARMM,21,0,Mindanao,2017-12-01
January,2018,BARMM,149,2,Mindanao,2018-01-01
February,2018,BARMM,129,1,Mindanao,2018-02-01
March,2018,BARMM,77,2,Mindanao,2018-03-01
April,2018,BARMM,124,3,Mindanao,2018-04-01
May,2018,BARMM,164,1,Mindanao,2018-05-01
June,2018,BARMM,254,5,Mindanao,2018-06-01
July,2018,BARMM,412,3,Mindanao,2018-07-01
August,2018,BARMM,253,2,Mindanao,2018-08-01
September,2018,BARMM,261,0,Mindanao,2018-09-01
October,2018,BARMM,246,8,Mindanao,2018-10-01
November,2018,BARMM,183,4,Mindanao,2018-11-01
December,2018,BARMM,208,2,Mindanao,2018-12-01
January,2019,BARMM,201,2,Mindanao,2019-01-01
February,2019,BARMM,309,4,Mindanao,2019-02-01
March,2019,BARMM,303,2,Mindanao,2019-03-01
April,2019,BARMM,221,2,Mindanao,2019-04-01
May,2019,BARMM,284,2,Mindanao,2019-05-01
June,2019,BARMM,554,4,Mindanao,2019-06-01
July,2019,BARMM,772,2,Mindanao,2019-07-01
August,2019,BARMM,811,6,Mindanao,2019-08-01
September,2019,BARMM,807,2,Mindanao,2019-09-01
October,2019,BARMM,481,2,Mindanao,2019-10-01
November,2019,BARMM,362,0,Mindanao,2019-11-01
December,2019,BARMM,288,3,Mindanao,2019-12-01
January,2020,BARMM,212,1,Mindanao,2020-01-01
February,2020,BARMM,233,2,Mindanao,2020-02-01
March,2020,BARMM,207,2,Mindanao,2020-03-01
April,2020,BARMM,23,0,Mindanao,2020-04-01
May,2020,BARMM,27,0,Mindanao,2020-05-01
June,2020,BARMM,48,0,Mindanao,2020-06-01
July,2020,BARMM,100,0,Mindanao,2020-07-01
August,2020,BARMM,91,0,Mindanao,2020-08-01
September,2020,BARMM,16,8,Mindanao,2020-09-01
October,2020,BARMM,13,9,Mindanao,2020-10-01
November,2020,BARMM,15,1,Mindanao,2020-11-01
December,2020,BARMM,23,0,Mindanao,2020-12-01
